交易日期,市場名稱,成交頭數-總數,成交頭數-平均重量,成交頭數-平均價格,規格豬(75公斤以上)-頭數,規格豬(75公斤以上)-平均重量,規格豬(75公斤以上)-平均價格,75公斤以下-頭數,75公斤以下-平均重量,75公斤以下-平均價格,75(含)-95(不含)-頭數,75(含)-95(不含)-平均重量,75(含)-95(不含)-平均價格,95(含)-115(含)-頭數,95(含)-115(含)-平均重量,95(含)-115(含)-平均價格,115(含)-135(不含)-頭數,115(含)-135(不含)-平均重量,115(含)-135(不含)-平均價格,135(含)-155(不含)-頭數,135(含)-155(不含)-平均重量,135(含)-155(不含)-平均價格,155公斤以上-頭數,155公斤以上-平均重量,155公斤以上-平均價格,淘汰種豬-頭數,淘汰種豬-平均重量,淘汰種豬-平均價格,其他豬-頭數,其他豬-平均重量,其他豬-平均價格,冷凍廠-頭數,冷凍廠-平均重量,冷凍廠-平均價格,成交總數(不含冷凍廠)-頭數,成交總數(不含冷凍廠)-平均重量,成交總數(不含冷凍廠)-平均價格
1110130,新竹縣,333,141.16,68.53,328,141.27,68.77,0,0.00,0.00,0,0.00,0.00,8,111.70,65.05,161,126.50,71.73,84,143.70,66.51,75,173.40,66.50,0,0.00,0.00,5,133.80,51.76,0,0.00,0.00,333,141.16,68.53
1110130,宜蘭縣,342,124.63,82.19,339,125.00,82.47,1,74.00,14.79,2,87.00,42.93,76,108.59,78.76,197,125.55,82.84,61,140.91,84.40,5,158.50,88.51,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,342,124.63,82.19
1110130,新北市,901,133.89,78.48,841,131.88,78.65,0,0.00,0.00,0,0.00,0.00,79,109.80,72.52,417,126.43,79.02,345,143.53,79.32,60,162.07,76.57,0,0.00,0.00,0,0.00,0.00,69,130.81,66.17,832,134.15,79.47
1110129,花蓮縣,688,132.47,79.08,686,132.59,79.10,0,0.00,0.00,2,93.50,67.61,58,109.88,75.16,384,126.89,79.04,207,143.61,80.43,37,165.65,77.26,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,688,132.47,79.08
1110129,台東縣,451,125.45,78.73,441,124.79,78.89,0,0.00,0.00,0,0.00,0.00,87,110.34,80.05,276,124.77,79.22,78,140.96,76.83,0,0.00,0.00,10,154.65,73.14,0,0.00,0.00,0,0.00,0.00,451,125.45,78.73
1110129,屏東縣,1891,123.25,71.54,1826,123.04,72.09,0,0.00,0.00,19,91.36,68.57,455,108.32,72.04,1106,124.66,72.89,265,141.54,69.22,27,161.05,59.00,2,149.00,38.06,17,118.97,45.36,0,0.00,0.00,1891,123.25,71.54
1110129,高雄旗山,615,127.52,77.91,596,127.48,78.28,0,0.00,0.00,6,87.75,66.46,84,108.54,72.22,375,126.59,79.23,137,141.55,78.80,9,162.11,68.73,0,0.00,0.00,4,113.88,59.69,0,0.00,0.00,615,127.52,77.91
1110129,高雄鳳山,1420,128.05,82.30,1377,127.74,82.48,0,0.00,0.00,6,91.37,66.01,192,109.31,80.27,807,125.72,82.75,378,141.41,82.85,21,160.30,81.90,0,0.00,0.00,16,126.08,70.86,0,0.00,0.00,1420,128.05,82.30
1110129,高雄岡山,853,121.12,78.61,787,123.22,79.44,1,64.00,20.00,58,88.60,64.51,218,108.00,76.26,437,125.20,79.87,132,141.80,82.19,7,162.80,74.61,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,853,121.12,78.61
1110129,高雄市,543,116.47,77.29,477,119.36,78.58,0,0.00,0.00,53,89.27,65.36,183,106.80,78.13,228,123.00,79.07,66,141.61,78.03,2,157.50,67.93,0,0.00,0.00,11,114.64,66.36,34,113.24,69.44,509,116.68,77.80
